length,url_count,exclamation_count,dollar_count,uppercase_ratio,label
754,0,0,0,0.04768211920529802,0
16171,0,1,27,0.03895622062824635,0
2139,0,0,0,0.044859813084112146,0
1613,0,0,0,0.03345724907063197,0
13880,0,0,3,0.04408904257618327,0
689,0,0,0,0.05217391304347826,0
334,0,0,0,0.056716417910447764,0
586,0,3,0,0.030664395229982964,0
745,0,0,0,0.058981233243967826,0
427,0,0,0,0.0630841121495327,0
528,0,3,0,0.03969754253308128,0
856,0,0,0,0.022170361726954493,0
387,0,0,0,0.04639175257731959,0
1418,0,0,1,0.0204369274136716,0
2078,0,0,0,0.022607022607022607,0
407,0,0,0,0.04411764705882353,0
3391,0,0,0,0.05306603773584906,0
3180,0,0,0,0.02452059100911663,0
5690,0,0,0,0.01845018450184502,0
511,0,2,0,0.03515625,0
2764,0,1,0,0.06148282097649186,0
917,0,0,0,0.023965141612200435,0
10585,0,0,1,0.03381825051955413,0
2524,0,1,0,0.0502970297029703,0
1434,0,0,0,0.05226480836236934,0
900,0,0,0,0.05549389567147614,0
1240,0,0,0,0.045124899274778404,0
1762,0,0,0,0.036301758366420876,0
575,0,0,0,0.05555555555555555,0
1350,0,0,0,0.04515173945225759,0
1519,0,0,0,0.028289473684210528,0
650,0,0,0,0.015360983102918587,0
288,0,3,0,0.04152249134948097,0
1047,0,3,0,0.04389312977099236,0
254,0,0,0,0.06666666666666667,0
229,0,0,0,0.08260869565217391,0
922,0,1,0,0.04875406283856988,0
728,0,0,0,0.04252400548696845,0
1167,0,0,0,0.02910958904109589,0
6146,0,0,2,0.026028957214901578,0
377,0,0,0,0.09788359788359788,0
930,0,0,0,0.05155746509129968,0
1589,0,1,0,0.0389937106918239,0
781,0,1,0,0.0639386189258312,0
858,0,1,0,0.048894062863795114,0
324,0,0,0,0.036923076923076927,0
1089,0,0,0,0.047706422018348627,0
550,0,0,0,0.06352087114337568,0
449,0,0,0,0.04,0
673,0,0,0,0.03857566765578635,0
1510,0,0,0,0.02382528127068167,0
1548,0,1,0,0.045836023240800515,0
1429,0,0,0,0.03076923076923077,0
418,0,0,0,0.021479713603818614,0
838,0,1,0,0.05125148986889154,0
3277,0,0,0,0.046674801708358755,0
98,0,0,0,0.1717171717171717,0
319,0,0,0,0.04375,0
563,0,0,0,0.051418439716312055,0
834,0,0,0,0.033532934131736525,0
706,0,0,0,0.05799151343705799,0
136,0,0,0,0.058394160583941604,0
1501,0,2,0,0.035286284953395475,0
1189,0,0,0,0.029411764705882353,0
502,0,0,0,0.03180914512922465,0
1464,0,0,0,0.08122866894197953,0
1769,0,2,0,0.05875706214689266,0
425,0,0,0,0.035211267605633804,0
877,0,0,0,0.07972665148063782,0
549,0,1,0,0.03090909090909091,0
7037,0,0,0,0.027564649048025008,0
694,0,1,0,0.05467625899280575,0
506,0,0,0,0.07692307692307693,0
1052,0,1,0,0.03513770180436847,0
57,0,0,0,0.017241379310344827,0
650,0,1,0,0.03225806451612903,0
